Geographic area,Number of mentions of AI in legislative proceedings
Madagascar,0
Sri Lanka,0
Tanzania,0
Andorra,0
Sierra Leone,0
Seychelles,0
San Marino,0
Papua New Guinea,0
Northern Mariana Islands,0
Azerbaijan,0
Armenia,0
Luxembourg,0
Lesotho,0
Kosovo,0
Gibraltar,0
Czech Republic,0
Barbados,0
Maldives,0
Malta,1
El Salvador,1
Zambia,1
Macao SAR,1
China,1
Cayman Islands,2
Ukraine,2
Latvia,2
Portugal,3
Germany,3
Zimbabwe,4
Dominican Republic,4
Isle of Man,4
Philippines,5
Moldova,5
Trinidad and Tobago,5
Belgium,5
Panama,5
Slovenia,6
Liechtenstein,7
Fiji,8
Russia,8
South Korea,10
Romania,11
Mauritius,11
Pakistan,11
New Zealand,12
Bermuda,13
Poland,13
Uruguay,17
India,17
Ecuador,18
Brazil,18
Kenya,21
Netherlands,23
Denmark,24
South Africa,26
Sweden,28
Estonia,30
Japan,32
Iceland,33
Switzerland,35
Mexico,36
Finland,41
France,43
Malaysia,44
Canada,52
Norway,62
Greece,68
Hong Kong,76
Italy,82
Singapore,85
United States,113
United Kingdom,119
Australia,123
Ireland,145
Spain,314
