US patient cohorts,State
0,Alabama
0,Alaska
0,Arizona
0,Arkansas
22,California
2,Colorado
2,Connecticut
0,District of Columbia
0,Delaware
0,Florida
0,Georgia
0,Hawaii
0,Idaho
0,Illinois
1,Indiana
0,Iowa
0,Kansas
0,Kentucky
0,Louisiana
0,Maine
4,Maryland
15,Massachusetts
1,Michigan
1,Minnesota
0,Mississippi
0,Missouri
0,Montana
0,Nebraska
0,Nevada
2,New Hampshire
0,New Jersey
0,New Mexico
14,New York
2,North Carolina
0,North Dakota
1,Ohio
0,Oklahoma
0,Oregon
5,Pennsylvania
0,Rhode Island
0,South Carolina
0,South Dakota
0,Tennessee
1,Texas
0,Utah
1,Vermont
0,Virginia
0,Washington
0,West Virginia
1,Wisconsin
0,Wyoming
